Series,Episode,Code,Type,Group,Description,Second Description,Seat 1 points,Seat 2 Points,Seat 3 Points,Seat 4 Points,Seat 4 Points,Tags,Youtube Link
6,9,M2,Main,yes,Perform a scene from Taskmaster: The Musical. Best scene wins. You have 1 hour. Your time starts now.,,3,2,2,3,2,,https://youtu.be/rISwkaS3wiI?t=1081
6,9,S1,Special,no,"Make an outfit from things bought at this stationery shop. You have 10 minutes and £50 to do your shopping, then 20 minutes to make your outfit. Your time starts now.","Watch the task and write down what pun you think Tim has gone for his outfit. You get a bonus point if you get the pun right or near to right. Tim, if no-one gets it, you get 2 points.",0,0,0,0,2,,https://youtu.be/rISwkaS3wiI?t=1470
6,9,M3,Main,no,Make this plastic bag as heavy as possible. You have 10 minutes at the end of which this bag must hang unassisted on these scales for one further minute. Heaviest bag at the end of that minute wins. Your time starts now.,,3,4,5,2,1,,https://youtu.be/rISwkaS3wiI?t=1736
6,9,F,Final,no,Pick up as many points as possible. The person holding the most points at the end of 100 seconds wins.,,4,1,2,5,4,,https://youtu.be/rISwkaS3wiI?t=2344
6,10,P,Prize,no,,,,,,,,,
6,10,M1,Main,no,,,,,,,,,
6,10,M2,Main,no,,,,,,,,,
6,10,M3,Main,no,,,,,,,,,
6,10,F,Final,no,,,,,,,,,
7,1,P,Prize,no,,,,,,,,,
7,1,M1,Main,no,,,,,,,,,
7,1,M2,Main,no,,,,,,,,,
7,1,M3,Main,no,,,,,,,,,
7,1,F,Final,no,,,,,,,,,
7,2,P,Prize,no,,,,,,,,,
7,2,M1,Main,no,,,,,,,,,
7,2,M2,Main,no,,,,,,,,,
7,2,M3,Main,no,,,,,,,,,
7,2,F,Final,no,,,,,,,,,
7,3,P,Prize,no,,,,,,,,,
7,3,M1,Main,no,,,,,,,,,
7,3,M2,Main,no,,,,,,,,,
7,3,M3,Main,no,,,,,,,,,
7,3,F,Final,no,,,,,,,,,
7,4,P,Prize,no,,,,,,,,,
7,4,M1,Main,no,,,,,,,,,
7,4,M2,Main,no,,,,,,,,,
7,4,M3,Main,no,,,,,,,,,
7,4,F,Final,no,,,,,,,,,
7,5,P,Prize,no,,,,,,,,,
7,5,M1,Main,no,,,,,,,,,
7,5,M2,Main,no,,,,,,,,,
7,5,M3,Main,no,,,,,,,,,
7,5,F,Final,no,,,,,,,,,
7,6,P,Prize,no,,,,,,,,,
7,6,M1,Main,no,,,,,,,,,
7,6,M2,Main,no,,,,,,,,,
7,6,M3,Main,no,,,,,,,,,
7,6,F,Final,no,,,,,,,,,
7,7,P,Prize,no,,,,,,,,,
7,7,M1,Main,no,,,,,,,,,
7,7,M2,Main,no,,,,,,,,,
7,7,M3,Main,no,,,,,,,,,
7,7,F,Final,no,,,,,,,,,
7,8,P,Prize,no,,,,,,,,,
7,8,M1,Main,no,,,,,,,,,
7,8,M2,Main,no,,,,,,,,,
7,8,M3,Main,no,,,,,,,,,
7,8,F,Final,no,,,,,,,,,
7,9,P,Prize,no,,,,,,,,,
7,9,M1,Main,no,,,,,,,,,
7,9,M2,Main,no,,,,,,,,,
7,9,M3,Main,no,,,,,,,,,
7,9,F,Final,no,,,,,,,,,
7,10,P,Prize,no,,,,,,,,,
7,10,M1,Main,no,,,,,,,,,
7,10,M2,Main,no,,,,,,,,,
7,10,M3,Main,no,,,,,,,,,
7,10,F,Final,no,,,,,,,,,
8,1,P,Prize,no,,,,,,,,,
8,1,M1,Main,no,,,,,,,,,
8,1,M2,Main,no,,,,,,,,,
8,1,M3,Main,no,,,,,,,,,
8,1,F,Final,no,,,,,,,,,
8,2,P,Prize,no,,,,,,,,,
8,2,M1,Main,no,,,,,,,,,
8,2,M2,Main,no,,,,,,,,,
8,2,M3,Main,no,,,,,,,,,
8,2,F,Final,no,,,,,,,,,
8,3,P,Prize,no,,,,,,,,,
8,3,M1,Main,no,,,,,,,,,
8,3,M2,Main,no,,,,,,,,,
8,3,M3,Main,no,,,,,,,,,
8,3,F,Final,no,,,,,,,,,
8,4,P,Prize,no,,,,,,,,,
8,4,M1,Main,no,,,,,,,,,
8,4,M2,Main,no,,,,,,,,,
8,4,M3,Main,no,,,,,,,,,
8,4,F,Final,no,,,,,,,,,
8,5,P,Prize,no,,,,,,,,,
8,5,M1,Main,no,,,,,,,,,
8,5,M2,Main,no,,,,,,,,,
8,5,M3,Main,no,,,,,,,,,
8,5,F,Final,no,,,,,,,,,
8,6,P,Prize,no,,,,,,,,,
8,6,M1,Main,no,,,,,,,,,
8,6,M2,Main,no,,,,,,,,,
8,6,M3,Main,no,,,,,,,,,
8,6,F,Final,no,,,,,,,,,
8,7,P,Prize,no,,,,,,,,,
8,7,M1,Main,no,,,,,,,,,
8,7,M2,Main,no,,,,,,,,,
8,7,M3,Main,no,,,,,,,,,
8,7,F,Final,no,,,,,,,,,
8,8,P,Prize,no,,,,,,,,,
8,8,M1,Main,no,,,,,,,,,
8,8,M2,Main,no,,,,,,,,,
8,8,M3,Main,no,,,,,,,,,
8,8,F,Final,no,,,,,,,,,
8,9,P,Prize,no,,,,,,,,,
8,9,M1,Main,no,,,,,,,,,
8,9,M2,Main,no,,,,,,,,,
8,9,M3,Main,no,,,,,,,,,
8,9,F,Final,no,,,,,,,,,
8,10,P,Prize,no,,,,,,,,,
8,10,M1,Main,no,,,,,,,,,
8,10,M2,Main,no,,,,,,,,,
8,10,M3,Main,no,,,,,,,,,
8,10,F,Final,no,,,,,,,,,
9,1,P,Prize,no,,,,,,,,,
9,1,M1,Main,no,,,,,,,,,
9,1,M2,Main,no,,,,,,,,,
9,1,M3,Main,no,,,,,,,,,
9,1,F,Final,no,,,,,,,,,
9,2,P,Prize,no,,,,,,,,,
9,2,M1,Main,no,,,,,,,,,
9,2,M2,Main,no,,,,,,,,,
9,2,M3,Main,no,,,,,,,,,
9,2,F,Final,no,,,,,,,,,
9,3,P,Prize,no,,,,,,,,,
9,3,M1,Main,no,,,,,,,,,
9,3,M2,Main,no,,,,,,,,,
9,3,M3,Main,no,,,,,,,,,
9,3,F,Final,no,,,,,,,,,
9,4,P,Prize,no,,,,,,,,,
9,4,M1,Main,no,,,,,,,,,
9,4,M2,Main,no,,,,,,,,,
9,4,M3,Main,no,,,,,,,,,
9,4,F,Final,no,,,,,,,,,
9,5,P,Prize,no,,,,,,,,,
9,5,M1,Main,no,,,,,,,,,
9,5,M2,Main,no,,,,,,,,,
9,5,M3,Main,no,,,,,,,,,
9,5,F,Final,no,,,,,,,,,
9,6,P,Prize,no,,,,,,,,,
9,6,M1,Main,no,,,,,,,,,
9,6,M2,Main,no,,,,,,,,,
9,6,M3,Main,no,,,,,,,,,
9,6,F,Final,no,,,,,,,,,
9,7,P,Prize,no,,,,,,,,,
9,7,M1,Main,no,,,,,,,,,
9,7,M2,Main,no,,,,,,,,,
9,7,M3,Main,no,,,,,,,,,
9,7,F,Final,no,,,,,,,,,
9,8,P,Prize,no,,,,,,,,,
9,8,M1,Main,no,,,,,,,,,
9,8,M2,Main,no,,,,,,,,,
9,8,M3,Main,no,,,,,,,,,
9,8,F,Final,no,,,,,,,,,
9,9,P,Prize,no,,,,,,,,,
9,9,M1,Main,no,,,,,,,,,
9,9,M2,Main,no,,,,,,,,,
9,9,M3,Main,no,,,,,,,,,
9,9,F,Final,no,,,,,,,,,
9,10,P,Prize,no,,,,,,,,,
9,10,M1,Main,no,,,,,,,,,
9,10,M2,Main,no,,,,,,,,,
9,10,M3,Main,no,,,,,,,,,
9,10,F,Final,no,,,,,,,,,
10,1,P,Prize,no,,,,,,,,,
10,1,M1,Main,no,,,,,,,,,
10,1,M2,Main,no,,,,,,,,,
10,1,M3,Main,no,,,,,,,,,
10,1,F,Final,no,,,,,,,,,
10,2,P,Prize,no,,,,,,,,,
10,2,M1,Main,no,,,,,,,,,
10,2,M2,Main,no,,,,,,,,,
10,2,M3,Main,no,,,,,,,,,
10,2,F,Final,no,,,,,,,,,
10,3,P,Prize,no,,,,,,,,,
10,3,M1,Main,no,,,,,,,,,
10,3,M2,Main,no,,,,,,,,,
10,3,M3,Main,no,,,,,,,,,
10,3,F,Final,no,,,,,,,,,
10,4,P,Prize,no,,,,,,,,,
10,4,M1,Main,no,,,,,,,,,
10,4,M2,Main,no,,,,,,,,,
10,4,M3,Main,no,,,,,,,,,
10,4,F,Final,no,,,,,,,,,
10,5,P,Prize,no,,,,,,,,,
10,5,M1,Main,no,,,,,,,,,
10,5,M2,Main,no,,,,,,,,,
10,5,M3,Main,no,,,,,,,,,
10,5,F,Final,no,,,,,,,,,
